"1 (n=22) Mean +/- SD";"4 (n=78) Mean +/- SD";"1 (n=22) Median (IQR)";"4 (n=78) Median (IQR)";"Pval_Shapiro";"Pval_Levene";"Pval_Bartlett";"Pval_ANOVA*";"4 - 1 (Tukey*)"
"X_1035621.txt.gz1.tbl.gz";"0.30736 +/- 0.068651";"0.29517 +/- 0.075278";"0.322 (0.322;0.322)";"0.322 (0.322;0.322)";7.5204e-19;0.49582;0.60607;0.49582;0.49582
"X_1036125.txt.gz1.tbl.gz";"0.092845 +/- 0.046038";"0.080432 +/- 0.049309";"0.07295 (0.07295;0.1459)";"0.07295 (0.07295;0.1459)";1.4991e-10;0.95423;0.69956;0.29289;0.29289
"X_1106713.txt.gz1.tbl.gz";"-0.11237 +/- 0.04855";"-0.11113 +/- 0.033611";"-0.1049 (-0.15084;-0.1049)";"-0.1049 (-0.1115;-0.1049)";8.6456e-10;0.10909;0.025596;0.89137;0.89137
"X_110981.txt.gz1.tbl.gz";"0.13909 +/- 0.053452";"0.12723 +/- 0.049319";"0.1654 (0.1654;0.1654)";"0.1654 (0.0827;0.1654)";1.5436e-13;0.33065;0.64163;0.33065;0.33065
"X_1110324.txt.gz1.tbl.gz";"0.10959 +/- 0.039697";"0.10489 +/- 0.044268";"0.10586 (0.0807;0.12767)";"0.10468 (0.06947;0.13416)";0.25423;0.32817;0.54327;0.65442;0.65442
"X_1110413.txt.gz1.tbl.gz";"-0.056045 +/- 0.071549";"-0.01081 +/- 0.0898";"-0.074 (-0.12405;-0.00925)";"-0.037 (-0.074;0.05005)";1.2989e-06;0.18485;0.21589;0.032153;0.032153
"X_11105171.txt.gz1.tbl.gz";"-0.17533 +/- 0.059204";"-0.18578 +/- 0.046463";"-0.2085 (-0.2085;-0.13031)";"-0.2085 (-0.2085;-0.2085)";2.9704e-16;0.38372;0.14932;0.38372;0.38372
"X_1151031.txt.gz1.tbl.gz";"-0.11512 +/- 0.039278";"-0.11414 +/- 0.047495";"-0.11512 (-0.1535;-0.07675)";"-0.1535 (-0.1535;-0.07675)";1.2385e-12;0.92307;0.29717;0.92936;0.92936
"X_11514196.txt.gz1.tbl.gz";"0.075409 +/- 0.056718";"0.1106 +/- 0.059286";"0.08295 (0.020738;0.08295)";"0.08295 (0.08295;0.1659)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_13088397.txt.gz1.tbl.gz";"-0.098068 +/- 0.066824";"-0.10861 +/- 0.054594";"-0.0863 (-0.1726;-0.0863)";"-0.0863 (-0.1726;-0.0863)";9.9857e-11;0.29493;0.23225;0.44903;0.44903
"X_130936.txt.gz1.tbl.gz";"-0.073988 +/- 0.052903";"-0.087549 +/- 0.046137";"-0.078512 (-0.10725;-0.049775)";"-0.1034 (-0.10725;-0.053625)";3.4069e-06;0.26826;0.42393;0.24144;0.24144
"X_1309475.txt.gz1.tbl.gz";"0.10125 +/- 0.1362";"0.22587 +/- 0.13839";"0 (0;0.2025)";"0.2025 (0.2025;0.405)";4.6634e-10;0.84546;0.92787;0.00030693;0.00030693
"X_1309551.txt.gz1.tbl.gz";"-0.050714 +/- 0.030826";"-0.067422 +/- 0.035065";"-0.05165 (-0.07845;-0.0268)";"-0.069633 (-0.094483;-0.0497)";0.011312;0.27841;0.47403;0.045721;0.045721
"X_131021.txt.gz1.tbl.gz";"-0.092741 +/- 0.055598";"-0.096871 +/- 0.07726";"-0.09504 (-0.12805;-0.060935)";"-0.10374 (-0.15944;-0.04587)";0.0089332;0.05922;0.079252;0.81562;0.81562
"X_13103125.txt.gz1.tbl.gz";"0.072689 +/- 0.054999";"0.060529 +/- 0.060572";"0.07615 (0.019038;0.07615)";"0.07615 (0;0.07615)";1.3886e-10;0.1558;0.58948;0.3987;0.3987
"X_131079.txt.gz1.tbl.gz";"0.08665 +/- 0.070749";"0.10331 +/- 0.05419";"0.08665 (0;0.1733)";"0.08665 (0.08665;0.1733)";1.6009e-10;0.078079;0.11115;0.23797;0.23797
"X_1310982.txt.gz1.tbl.gz";"0.053086 +/- 0.047083";"0.071365 +/- 0.054738";"0.0687 (0;0.0687)";"0.0687 (0;0.1374)";3.7368e-10;0.28142;0.40467;0.15775;0.15775
"X_13112179.txt.gz1.tbl.gz";"-0.117 +/- 0.047871";"-0.10619 +/- 0.054975";"-0.1288 (-0.1713;-0.08565)";"-0.1288 (-0.1713;-0.08565)";2.7986e-07;0.44992;0.44292;0.40496;0.40496
